Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
February 28 2025,Asotin,WA,Passenger,61,31,92,12237,12329,0.75
August 31 2024,Pend Oreille,WA,Truck,3,0,3,5552,5555,0.05
October 31 2021,Columbia,WA,Passenger,7,2,9,2435,2444,0.37
July 31 2020,Allegheny,PA,Passenger,2,0,2,85,87,2.30
February 28 2017,Wayne,MI,Passenger,0,2,2,71,73,2.74
September 30 2021,Lincoln,WA,Truck,0,0,0,4778,4778,0.00
May 31 2019,Dakota,MN,Passenger,0,2,2,39,41,4.88
January 31 2020,Rogers,OK,Passenger,1,0,1,11,12,8.33
August 31 2022,Wood,OH,Passenger,0,1,1,6,7,14.29
November 30 2017,Norfolk,VA,Passenger,1,1,2,305,307,0.65
October 31 2020,King,WA,Passenger,25851,8017,33868,1371212,1405080,2.41
October 31 2020,Botetourt,VA,Passenger,1,0,1,0,1,100.00
March 31 2023,Newport,RI,Passenger,0,1,1,59,60,1.67
June 30 2022,Williamsburg,VA,Passenger,0,1,1,8,9,11.11
August 31 2018,Prince William,VA,Passenger,0,5,5,252,257,1.95
February 29 2024,San Diego,CA,Truck,1,0,1,452,453,0.22
January 31 2025,Hamilton,OH,Passenger,2,0,2,35,37,5.41
April 30 2017,Wahkiakum,WA,Truck,0,0,0,1631,1631,0.00
November 30 2021,Solano,CA,Passenger,1,0,1,191,192,0.52
October 31 2024,Providence,RI,Passenger,1,0,1,20,21,4.76
September 30 2023,Escambia,FL,Truck,1,0,1,28,29,3.45
December 31 2019,Charles,MD,Passenger,0,1,1,86,87,1.15
December 31 2019,Washtenaw,MI,Passenger,1,0,1,43,44,2.27
May 31 2020,Nueces,TX,Passenger,1,0,1,87,88,1.14
March 31 2022,Hennepin,MN,Passenger,3,0,3,86,89,3.37
May 31 2019,Lake,CA,Passenger,0,1,1,12,13,7.69
December 31 2022,Yakima,WA,Truck,6,0,6,61119,61125,0.01
October 31 2021,Klickitat,WA,Passenger,87,52,139,15330,15469,0.90
May 31 2022,Larimer,CO,Passenger,1,0,1,55,56,1.79
March 31 2022,Burlington,NJ,Passenger,0,1,1,108,109,0.92
January 31 2020,Lake,FL,Passenger,1,0,1,28,29,3.45
February 28 2023,Essex,MA,Passenger,2,0,2,17,19,10.53
August 31 2024,Dallas,TX,Passenger,1,0,1,76,77,1.30
May 31 2020,Chelan,WA,Truck,0,0,0,22420,22420,0.00
January 31 2021,Pinellas,FL,Passenger,1,1,2,115,117,1.71
May 31 2025,Forsyth,GA,Passenger,1,0,1,7,8,12.50
May 31 2024,Cobb,GA,Passenger,1,0,1,39,40,2.50
November 30 2022,Currituck,NC,Passenger,1,0,1,23,24,4.17
July 31 2019,Lee,FL,Passenger,1,0,1,56,57,1.75
July 31 2023,Okaloosa,FL,Passenger,0,2,2,102,104,1.92
April 30 2021,Chelan,WA,Truck,0,0,0,23043,23043,0.00
July 31 2019,Douglas,WA,Passenger,60,37,97,28065,28162,0.34
November 30 2023,Yakima,WA,Truck,16,0,16,60814,60830,0.03
July 31 2021,Adams,WA,Passenger,16,12,28,13019,13047,0.21
September 30 2020,Grays Harbor,WA,Truck,0,0,0,21078,21078,0.00
February 29 2024,Oldham,KY,Passenger,0,1,1,4,5,20.00
June 30 2024,Lee,AL,Passenger,1,0,1,17,18,5.56
November 30 2018,Collin,TX,Passenger,1,1,2,169,171,1.17
April 30 2021,Skagit,WA,Truck,1,0,1,32989,32990,0.00
September 30 2017,Mercer,NJ,Passenger,0,1,1,15,16,6.25
January 31 2020,Grays Harbor,WA,Truck,0,0,0,20819,20819,0.00
December 31 2023,Portsmouth,VA,Passenger,0,3,3,66,69,4.35
August 31 2018,Lee,FL,Passenger,1,0,1,59,60,1.67
June 30 2021,Allegheny,PA,Passenger,2,1,3,78,81,3.70
August 31 2019,Wise,TX,Passenger,1,0,1,7,8,12.50
June 30 2020,Stafford,VA,Passenger,1,1,2,100,102,1.96
April 30 2023,Garfield,WA,Truck,0,0,0,977,977,0.00
March 31 2024,San Juan,WA,Truck,31,0,31,5866,5897,0.53
December 31 2023,Bristol,MA,Passenger,1,0,1,8,9,11.11
November 30 2024,San Diego,CA,Passenger,28,8,36,1914,1950,1.85
June 30 2021,Plaquemines,LA,Passenger,0,1,1,17,18,5.56
September 30 2021,King,WA,Passenger,32837,9693,42530,1363209,1405739,3.03
December 31 2017,Pima,AZ,Passenger,1,1,2,443,445,0.45
August 31 2017,Asotin,WA,Passenger,8,5,13,12436,12449,0.10
May 31 2025,Middlesex,MA,Passenger,5,0,5,57,62,8.06
July 31 2020,Monterey,CA,Passenger,1,2,3,175,178,1.69
March 31 2025,Middlesex,CT,Passenger,1,0,1,5,6,16.67
January 31 2023,Hanover,VA,Passenger,1,0,1,3,4,25.00
August 31 2019,Kitsap,WA,Passenger,1113,634,1747,181324,183071,0.95
December 31 2017,Missoula,MT,Passenger,1,0,1,70,71,1.41
May 31 2021,Contra Costa,CA,Passenger,3,4,7,258,265,2.64
January 31 2022,New Haven,CT,Passenger,0,2,2,33,35,5.71
June 30 2020,Mercer,NJ,Passenger,0,1,1,14,15,6.67
July 31 2019,Prince William,VA,Passenger,1,4,5,243,248,2.02
December 31 2018,Lincoln,WA,Truck,0,0,0,4634,4634,0.00
April 30 2025,Muscogee,GA,Passenger,1,2,3,88,91,3.30
October 31 2022,Okaloosa,FL,Passenger,0,3,3,109,112,2.68
April 30 2023,Polk,OR,Passenger,1,1,2,22,24,8.33
August 31 2022,Middlesex,MA,Passenger,2,0,2,94,96,2.08
March 31 2017,Madison,ID,Passenger,1,0,1,42,43,2.33
March 31 2024,Asotin,WA,Truck,2,0,2,6554,6556,0.03
September 30 2024,Middlesex,MA,Passenger,5,0,5,74,79,6.33
February 29 2020,Ferry,WA,Truck,0,0,0,3578,3578,0.00
August 31 2020,Cameron,TX,Passenger,1,0,1,24,25,4.00
April 30 2020,Suffolk,VA,Passenger,1,0,1,129,130,0.77
February 29 2024,Whitman,WA,Passenger,206,116,322,21869,22191,1.45
August 31 2020,Skamania,WA,Truck,0,0,0,4024,4024,0.00
July 31 2022,Manassas,VA,Passenger,0,1,1,8,9,11.11
August 31 2019,Guadalupe,TX,Passenger,1,0,1,72,73,1.37
July 31 2024,Fairfax,VA,Passenger,16,10,26,571,597,4.36
August 31 2024,Johnson,MO,Passenger,1,0,1,28,29,3.45
January 31 2017,St. Lucie,FL,Passenger,1,0,1,31,32,3.12
March 31 2020,New London,CT,Passenger,1,1,2,235,237,0.84
November 30 2021,Platte,MO,Passenger,1,1,2,20,22,9.09
March 31 2020,Mercer,NJ,Passenger,0,1,1,15,16,6.25
January 31 2025,Richmond,GA,Passenger,0,1,1,42,43,2.33
July 31 2022,Lake,IL,Passenger,5,0,5,144,149,3.36
October 31 2021,Lewis,WA,Truck,0,0,0,26718,26718,0.00
October 31 2024,Shelby,TN,Passenger,1,1,2,56,58,3.45
November 30 2023,Dallas,TX,Truck,1,0,1,13,14,7.14
May 31 2023,Harford,MD,Passenger,1,1,2,49,51,3.92
May 31 2023,Jefferson,NY,Passenger,2,0,2,197,199,1.01
June 30 2021,Fulton,GA,Passenger,0,1,1,96,97,1.03
March 31 2021,Goochland,VA,Passenger,4,3,7,282,289,2.42
July 31 2022,Anchorage,AK,Passenger,2,0,2,148,150,1.33
March 31 2022,Howard,IN,Passenger,0,1,1,6,7,14.29
May 31 2019,Saratoga,NY,Passenger,1,0,1,56,57,1.75
May 31 2023,Douglas,NE,Passenger,2,1,3,34,37,8.11
May 31 2019,Kootenai,ID,Passenger,1,2,3,228,231,1.30
September 30 2023,Pacific,WA,Truck,5,0,5,7808,7813,0.06
October 31 2020,Albemarle,VA,Passenger,1,0,1,27,28,3.57
April 30 2020,San Juan,WA,Passenger,295,89,384,14143,14527,2.64
May 31 2017,Douglas,WA,Passenger,32,23,55,26677,26732,0.21
October 31 2020,Montgomery,AL,Passenger,1,1,2,39,41,4.88
June 30 2019,Owyhee,ID,Passenger,1,0,1,5,6,16.67
November 30 2020,El Dorado,CA,Passenger,1,0,1,41,42,2.38
November 30 2018,Pima,AZ,Passenger,1,1,2,439,441,0.45
June 30 2018,Hennepin,MN,Passenger,1,0,1,119,120,0.83
September 30 2021,Harnett,NC,Passenger,1,1,2,190,192,1.04
February 28 2022,Powhatan,VA,Passenger,1,0,1,1,2,50.00
January 31 2025,Benton,WA,Truck,84,0,84,43039,43123,0.19
January 31 2020,El Paso,TX,Passenger,2,0,2,444,446,0.45
September 30 2022,Klickitat,WA,Passenger,108,54,162,15094,15256,1.06
August 31 2023,San Francisco,CA,Passenger,4,1,5,81,86,5.81
January 31 2017,Pend Oreille,WA,Truck,0,0,0,5593,5593,0.00
May 31 2017,Maui,HI,Passenger,1,0,1,73,74,1.35
January 31 2025,Columbia,GA,Passenger,1,1,2,76,78,2.56
January 31 2022,Wilson,NC,Passenger,1,0,1,1,2,50.00
April 30 2024,Honolulu,HI,Passenger,6,2,8,302,310,2.58
March 31 2025,Los Angeles,CA,Passenger,13,3,16,495,511,3.13
January 31 2019,Washtenaw,MI,Passenger,1,0,1,38,39,2.56
April 30 2023,Larimer,CO,Passenger,1,0,1,48,49,2.04
January 31 2025,Henrico,VA,Passenger,1,2,3,12,15,20.00
September 30 2022,Spokane,WA,Truck,12,0,12,101677,101689,0.01
January 31 2025,Kootenai,ID,Passenger,2,2,4,79,83,4.82
April 30 2020,Eagle,CO,Passenger,1,0,1,8,9,11.11
July 31 2021,Essex,MA,Passenger,1,0,1,21,22,4.55
October 31 2020,Nassau,NY,Passenger,5,0,5,34,39,12.82
May 31 2025,Collin,TX,Passenger,1,1,2,34,36,5.56
March 31 2022,Ferry,WA,Passenger,17,3,20,4416,4436,0.45
February 28 2023,Hennepin,MN,Passenger,1,0,1,63,64,1.56
March 31 2019,Chelan,WA,Truck,0,0,0,22114,22114,0.00
February 28 2017,Arlington,VA,Passenger,1,1,2,180,182,1.10
December 31 2020,Carroll,MD,Passenger,0,1,1,17,18,5.56
June 30 2024,Bexar,TX,Passenger,5,3,8,369,377,2.12
June 30 2024,Caddo,LA,Passenger,3,0,3,13,16,18.75
August 31 2018,Benton,WA,Passenger,189,198,387,132153,132540,0.29
March 31 2019,Arlington,VA,Passenger,1,2,3,168,171,1.75
April 30 2024,St. Mary's,MD,Passenger,4,0,4,199,203,1.97
August 31 2020,Howard,IN,Passenger,0,1,1,4,5,20.00
June 30 2023,Anchorage,AK,Passenger,1,0,1,121,122,0.82
July 31 2020,Fulton,GA,Passenger,1,3,4,109,113,3.54
April 30 2017,St. Lucie,FL,Passenger,1,0,1,31,32,3.12
